Field=#~Integer~#~50|Field=Description~String~Description~85|Field=Quantity~Integer~Quantity~64|Field=Supplier 1~String~Supplier 1~75|Field=Supplier Part Number 1~String~Supplier Part Number 1~75|Field=Category~String~Category~59|Field=LibRef~String~LibRef~59|Field=Manufacturer 1~String~Manufacturer 1~78|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~56|Field=Supplier Currency 1~String~Supplier Currency 1~56|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~56|Field=Supplier Stock 1~Integer~Supplier Stock 1~56|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~56|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~66|Field=Footprint~String~Footprint~84|Field=Designator~String~Designator~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~5|ReportField=ProjectFileName~pulseox-main-PCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\Documents\Projects\pulseox-hardware\pulseox-main-PCB\pulseox-main-PCB.PrjPcb|ReportField=Title~Bill of Materials For Project [pulseox-main-PCB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~26|ReportField=ReportTime~8:23:24 PM|ReportField=ReportDate~02/24/2018|ReportField=ReportDateTime~02/24/2018 8:23:24 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~Irnas|ReportField=ProjectTitle~GliaX - pulseox|ReportField=Version~v2.1|ReportField=Website~www.irnas.eu|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~02/24/2018|ReportField=CurrentTime~8:21:56 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\vojislav\Documents\Projects\pulseox-hardware\pulseox-main-PCB\PAGE1 - CONTENTS.SchDoc|ReportField=DocumentName~PAGE1 - CONTENTS.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~02/20/2018|ReportField=Organization~|ReportField=ProjectName~pulseox-main-PCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~pulseox-main-PCB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\vojislav\Documents\Projects\pulseox-hardware\pulseox-main-PCB\pulseox-main-PCB.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|WALSIN - WR08X1002FTL - RES, THICK FILM, 10K, 1%, 150V, 0805|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3DWR08X1002FTL%26seller%3DFarnell%26sku%3D2502671%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2502671{URL.TIP}Supplier||10K 1% 0805_1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3DWR08X1002FTL%26seller%3DFarnell%26sku%3D2502671%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Walsin%20Technologies{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWalsin%2520Technologies%26mpn%3DWR08X1002FTL%26seller%3DFarnell%26sku%3D2502671%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}WR08X1002FTL{URL.TIP}Manufacturer|EUR|10|43713|0.466|0.0466|RES0805|R4, R6
2|VISHAY - CRCW08054K70FKEA - RES, THICK FILM, 4K7, 1%, 0.125W, 0805|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08054K70FKEA%26seller%3DFarnell%26sku%3D1469923%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1469923{URL.TIP}Supplier||4k7 1% 0805|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08054K70FKEA%26seller%3DFarnell%26sku%3D1469923%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08054K70FKEA%26seller%3DFarnell%26sku%3D1469923%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08054K70FKEA{URL.TIP}Manufacturer|EUR|5|3420|||RES0805|R3
3|WELWYN - WCR0805-47KFI - RES, THICK FILM, 47K, 1%, 0.125W, 0805|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTT%2520Welwyn%26mpn%3DWCR0805-47KFI%26seller%3DFarnell%26sku%3D1099812%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1099812{URL.TIP}Supplier||47k 1% 0805|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTT%2520Welwyn%26mpn%3DWCR0805-47KFI%26seller%3DFarnell%26sku%3D1099812%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TT%20Welwyn{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTT%2520Welwyn%26mpn%3DWCR0805-47KFI%26seller%3DFarnell%26sku%3D1099812%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}WCR0805-47KFI{URL.TIP}Manufacturer|EUR|5|16160|||RES0805|R5
4|TE CONNECTIVITY - 1776275-2 - TERMINAL BLOCK, WIRE TO BRD, 2POS, 18AWG|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1776275-2%26seller%3DFarnell%26sku%3D1098611%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1098611{URL.TIP}Supplier||1776275-2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1776275-2%26seller%3DFarnell%26sku%3D1098611%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1776275-2%26seller%3DFarnell%26sku%3D1098611%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1776275-2{URL.TIP}Manufacturer|EUR|5|28930|1.2|0.24|Block Terminal 3.5mm|CON2
5|TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA4J1X5R1C106K125AC%26seller%3DFarnell%26sku%3D2210948RL%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2210948RL{URL.TIP}Supplier||10uF /16V|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA4J1X5R1C106K125AC%26seller%3DFarnell%26sku%3D2210948RL%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA4J1X5R1C106K125AC%26seller%3DFarnell%26sku%3D2210948RL%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CGA4J1X5R1C106K125AC{URL.TIP}Manufacturer|EUR|5|0|||CAP0805|C1
6|STMICROELECTRONICS         STM32F070F6P6             32 Bit Microcontroller, Value Line, ARM Cortex-M0, 48 MHz, 32 KB, 6 KB, 20 Pins, TSSOP|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F070F6P6%26seller%3DFarnell%26sku%3D2488284%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2488284{URL.TIP}Supplier||STM32F070F6P6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F070F6P6%26seller%3DFarnell%26sku%3D2488284%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}STMicroelectronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F070F6P6%26seller%3DFarnell%26sku%3D2488284%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}STM32F070F6P6{URL.TIP}Manufacturer|EUR|5|6081|10.55|2.11|SOP127P600-8N|U3
7|AUDIO PIEZO TRANSDUCER 1-30V TH|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DProjects%2520Unlimited%26mpn%3DAT-2440-TWT-R%26seller%3DDigi-Key%26sku%3D668-1103-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}668-1103-ND{URL.TIP}Supplier|Audio Products|AT-2440-TWT-R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DProjects%2520Unlimited%26mpn%3DAT-2440-TWT-R%26seller%3DDigi-Key%26sku%3D668-1103-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Projects%20Unlimited{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DProjects%2520Unlimited%26mpn%3DAT-2440-TWT-R%26seller%3DDigi-Key%26sku%3D668-1103-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AT-2440-TWT-R{URL.TIP}Manufacturer|USD|5|3084|9.35|1.87|Buzzer|BUZ1
8||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPro%2520Signal%26mpn%3DPS000036%26seller%3DFarnell%26sku%3D2787075%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2787075{URL.TIP}Supplier||PS000036|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPro%2520Signal%26mpn%3DPS000036%26seller%3DFarnell%26sku%3D2787075%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Pro%20Signal{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPro%2520Signal%26mpn%3DPS000036%26seller%3DFarnell%26sku%3D2787075%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PS000036{URL.TIP}Manufacturer|Loading...||0|||eth con|CON3
9|NEXPERIA - NX7002BK - MOSFET, N-CH, 60V, 0.27A, SOT-23-3|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DNX7002BK%26seller%3DFarnell%26sku%3D2469640%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2469640{URL.TIP}Supplier||NX7002BK|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DNX7002BK%26seller%3DFarnell%26sku%3D2469640%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DNX7002BK%26seller%3DFarnell%26sku%3D2469640%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NX7002BK{URL.TIP}Manufacturer|EUR|5|175|1.295|0.259|SOT23|T1
10|MURATA - GRM219R71C104KA01D - CAP, MLCC, X7R, 0.1UF, 16V, 0805|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R71C104KA01D%26seller%3DFarnell%26sku%3D2611934%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2611934{URL.TIP}Supplier||100nF 16V 0805|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R71C104KA01D%26seller%3DFarnell%26sku%3D2611934%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R71C104KA01D%26seller%3DFarnell%26sku%3D2611934%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM219R71C104KA01D{URL.TIP}Manufacturer|EUR|10|4457|0.985|0.0985|CAP0805|C2, C16
